Number ,Example,PP_type,Regular,1attatchment,2attactchment,ambiguity?,Trial,Response,
18,2,Instrumental,Inverse,Ambiguous,VP,Y,3,,
19,2,Instrumental,Inverse,Ambiguous,VP,Y,4,1. How the detective questioned the suspect ? meaning the detective used the recorder while questioning.,
20,2,Instrumental,Inverse,Ambiguous,VP,Y,5,,
21,3,Instrumental,Regular,VP,NO,N,1,,
22,3,Instrumental,Regular,VP,NO,N,2,,
23,3,Instrumental,Regular,VP,NO,N,3,"Paraphrase: The detective, using the recorder, questioned the suspect.",
24,3,Instrumental,Regular,VP,VP,Y,4,,
25,3,Instrumental,Regular,Ambiguous,VP,Y,5,2. Which suspect was questioned ? meaning the suspect possessed the recorder.,
26,3,Instrumental,Inverse,Ambiguous,VP,Y,1,,
27,3,Instrumental,Inverse,Ambiguous,VP,Y,2,,
28,3,Instrumental,Inverse,Ambiguous,VP,Y,3,,
29,3,Instrumental,Inverse,Ambiguous,VP,Y,4,Paraphrase: The detective questioned the suspect who had the recorder.,
30,3,Instrumental,Inverse,Ambiguous,VP,Y,5,,
31,4,Instrumental,Regular,VP,NO,N,1,"Without more context, grammatically, both readings are possible, because ""with the recorder"" could attach either to the verb phrase ""questioned"" or to the noun phrase ""the suspect.""",
32,4,Instrumental,Regular,VP,NO,N,2,,
33,4,Instrumental,Regular,VP,NO,N,3,"If you want, I can draw a quick diagram showing both interpretationsÑit makes this ambiguity really clear. Do you want me to do that?",
34,4,Instrumental,Regular,VP,NO,N,4,,
35,4,Instrumental,Regular,VP,NO,N,5,If the suspect had the recorder:,
36,4,Instrumental,Inverse,VP,NO,N,1,? The detective questioned the suspect who had the recorder.,
37,4,Instrumental,Inverse,Ambiguous,VP,Y,2,"the verb phrase (VP), or",
38,4,Instrumental,Inverse,Ambiguous,NP,Y,3,,
39,4,Instrumental,Inverse,VP,NO,N,4,the noun phrase (NP).,
40,4,Instrumental,Inverse,Ambiguous,VP,Y,5,,
41,5,Instrumental,Regular,VP,NO,N,1,Only context can fully resolve the ambiguity.,
42,5,Instrumental,Regular,VP,NO,N,2,,
43,5,Instrumental,Regular,VP,NO,N,3,,
44,5,Instrumental,Regular,VP,NO,Y,4,,
45,5,Instrumental,Regular,VP,NO,N,5,"If youÕd like, I can also show the two different parse structures to make the difference clearer.",
46,5,Instrumental,Inverse,Ambiguous,VP,Y,1,This is a well-known example of prepositional phrase attachment ambiguity in linguistics and psycholinguistics. English allows a prepositional phrase like Òwith the stethoscopeÓ to attach either to:,
47,5,Instrumental,Inverse,VP,VP,Y,2,,
48,5,Instrumental,Inverse,Ambiguous,VP,Y,3,"the verb phrase (VP), or",
49,5,Instrumental,Inverse,VP,NO,N,4,,
50,5,Instrumental,Inverse,VP,VP,Y,5,the noun phrase (NP).,
51,6,Instrumental,Regular,VP,VP,Y,1,,
52,6,Instrumental,Regular,VP,NO,N,2,"Without additional context, the sentence is ambiguous.",
53,6,Instrumental,Regular,VP,VP,Y,3,,
54,6,Instrumental,Regular,VP,NO,N,4,,
55,6,Instrumental,Regular,VP,NO,N,5,,
56,6,Instrumental,Inverse,VP,VP,Y,1,"If you'd like, I can show you how to rewrite the sentence to remove the ambiguity.",
57,6,Instrumental,Inverse,VP,VP,Y,2,"If you'd like, I can show you how to rewrite the sentence to remove the ambiguity.",
58,6,Instrumental,Inverse,Ambiguous,VP,Y,3,,
59,6,Instrumental,Inverse,Ambiguous,VP,Y,4,,
60,6,Instrumental,Inverse,Ambiguous,VP,Y,5,,
61,7,Instrumental,Regular,Ambiguous,VP,Y,1,,
62,7,Instrumental,Regular,Ambiguous,VP,Y,2,,
63,7,Instrumental,Regular,Ambiguous,VP,Y,3,,
64,7,Instrumental,Regular,Ambiguous,VP,Y,4,,
65,7,Instrumental,Regular,Ambiguous,VP,Y,5,,
66,7,Instrumental,Inverse,VP,NO,N,1,,
67,7,Instrumental,Inverse,Ambiguous,VP,Y,2,,
68,7,Instrumental,Inverse,VP,VP,Y,3,,
69,7,Instrumental,Inverse,VP,VP,Y,4,"""?? Important note: This sentence is semantically odd, because usually teachers instruct students, not the other way around. But strictly from a grammatical standpoint, ""with the textbook"" modifies the action ""instructed.""",
70,7,Instrumental,Inverse,Ambiguous,VP,Y,5,,
71,8,Instrumental,Regular,VP,NO,N,1,,
72,8,Instrumental,Regular,VP,NO,N,2,,
73,8,Instrumental,Regular,VP,NO,N,3,,
74,8,Instrumental,Regular,VP,VP,Y,4,,
75,8,Instrumental,Regular,VP,VP,Y,5,,
76,8,Instrumental,Inverse,Ambiguous,NP,Y,1,,
77,8,Instrumental,Inverse,Ambiguous,VP,Y,2,,
78,8,Instrumental,Inverse,Ambiguous,NP,Y,3,,
79,8,Instrumental,Inverse,VP,VP,Y,4,,
80,8,Instrumental,Inverse,VP,VP,Y,5,,
81,9,Instrumental,Regular,VP,VP,Y,1,,
82,9,Instrumental,Regular,Ambiguous,VP,Y,2,,
83,9,Instrumental,Regular,VP,VP,Y,3,,
84,9,Instrumental,Regular,VP,VP,Y,4,,
85,9,Instrumental,Regular,Ambiguous,VP,Y,5,,
86,9,Instrumental,Inverse,Ambiguous,VP,Y,1,,
87,9,Instrumental,Inverse,Ambiguous,VP,Y,2,,
88,9,Instrumental,Inverse,Ambiguous,VP,Y,3,,
89,9,Instrumental,Inverse,Ambiguous,VP,Y,4,,
90,9,Instrumental,Inverse,Ambiguous,VP,Y,5,,
91,10,Instrumental,Regular,VP,VP,Y,1,ex 100 - give one description,
92,10,Instrumental,Regular,VP,VP,Y,2,,
93,10,Instrumental,Regular,VP,VP,Y,3,"The most natural reading is that “with the microscope” describes the scientist, meaning the scientist used the microscope to observe the specimen.",
94,10,Instrumental,Regular,VP,VP,Y,4,,
95,10,Instrumental,Regular,VP,VP,Y,5,,
96,10,Instrumental,Inverse,Ambiguous,VP,Y,1,,
97,10,Instrumental,Inverse,Ambiguous,NP,Y ,2,ex 97 - Which is more likely?,
98,10,Instrumental,Inverse,Ambiguous,NP,Y,3,,
99,10,Instrumental,Inverse,Ambiguous,VP,Y,4,"Grammatically, both are possible.",
100,10,Instrumental,Inverse,Ambiguous,NP,Y,5,"Semantically (in real-world logic), it sounds unusual because specimens typically don’t observe scientists. But purely in terms of syntax, the sentence is ambiguous.",
101,1,Locative ,Regular,NP,NP,Y,1,,
102,1,Locative ,Regular,NP,NP,Y,2,"ex 102 - Without additional context, both interpretations are grammatically possible. Most readers naturally assume it modifies ""the man"", but technically both readings are correct.",
103,1,Locative ,Regular,NP,NO,N,3,,
104,1,Locative ,Regular,NP,NP,Y,4,,
105,1,Locative ,Regular,NP,NP,Y,5,,
106,1,Locative ,Inverse,Ambiguous,NP,Y,1,,
107,1,Locative ,Inverse,Ambiguous,NP,Y,2,,
108,1,Locative ,Inverse,Ambiguous,NP,Y,3,,
109,1,Locative ,Inverse,Ambiguous,NP,Y,4,,
110,1,Locative ,Inverse,Ambiguous,NP,Y,5,,
111,2,Locative ,Regular,Ambiguous,VP,Y,1,,
112,2,Locative ,Regular,Ambiguous,VP,Y,2,,
113,2,Locative ,Regular,Ambiguous,VP,Y,3,,
114,2,Locative ,Regular,Ambiguous,VP,Y,4,,
115,2,Locative ,Regular,Ambiguous,VP,Y,5,,
116,2,Locative ,Inverse,Ambiguous,NP,Y,1,,
117,2,Locative ,Inverse,Ambiguous,VP,Y,2,,
118,2,Locative ,Inverse,Ambiguous,VP,Y,3,,
119,2,Locative ,Inverse,Ambiguous,NP,Y,4,,
120,2,Locative ,Inverse,Ambiguous,VP,Y,5,,
121,3,Locative ,Regular,VP,NO,N,1,,
122,3,Locative ,Regular,VP,NO,N,2,,
123,3,Locative ,Regular,VP,VP,Y,3,,
124,3,Locative ,Regular,VP,NO,N,4,,
125,3,Locative ,Regular,VP,NO,N,5,,
126,3,Locative ,Inverse,VP,NO,N,1,,
127,3,Locative ,Inverse,NP,NO,N,2,,
128,3,Locative ,Inverse,NP,NP,Y,3,,
129,3,Locative ,Inverse,VP,VP,Y,4,,"?? However, the sentence is semantically odd: it suggests the chicken did the preparing and that it happened on a board, which could be interpreted as a cutting board—but it reads like a humorous or surreal sentence rather than a normal one."
130,3,Locative ,Inverse,VP,VP,Y,5,,
131,4,Locative ,Regular,VP,VP,Y,1,,"If you want, I can break down all possible readings of ""on the board""—it could technically modify either ""prepared"" or ""the chef,"" depending on how you interpret it. Do you want me to do that?"
132,4,Locative ,Regular,Ambiguous,VP,Y,2,,
133,4,Locative ,Regular,VP,VP,Y,3,,
134,4,Locative ,Regular,Ambiguous,VP,Y,4,,
135,4,Locative ,Regular,Ambiguous,VP,Y,5,,
136,4,Locative ,Inverse,NP,NP,Y,1,,
137,4,Locative ,Inverse,NP,NP,Y,2,,
138,4,Locative ,Inverse,NP,NP,Y,3,,
139,4,Locative ,Inverse,NP,NP,Y,4,,
140,4,Locative ,Inverse,NP,NP,Y,5,,
141,5,Locative ,Regular,VP,VP,Y,1,,
142,5,Locative ,Regular,VP,VP,Y,2,,
143,5,Locative ,Regular,VP,VP,Y,3,,
144,5,Locative ,Regular,VP,VP,Y,4,,
145,5,Locative ,Regular,VP,VP,Y,5,,
146,5,Locative ,Inverse,Ambiguous,VP,Y,1,,
147,5,Locative ,Inverse,VP,NO,N,2,,
148,5,Locative ,Inverse,Ambiguous,NP,Y,3,,
149,5,Locative ,Inverse,VP,NO,N,4,,
150,5,Locative ,Inverse,NP,NP,Y,5,,
151,6,Locative ,Regular,VP,NO,N,1,,
152,6,Locative ,Regular,VP,NO,N,2,,
153,6,Locative ,Regular,VP,NO,N,3,,
154,6,Locative ,Regular,VP,NO,N,4,,
155,6,Locative ,Regular,VP,NO,N,5,,
156,6,Locative ,Inverse,Ambiguous,NP,Y,1,,
157,6,Locative ,Inverse,VP,VP,Y,2,,
158,6,Locative ,Inverse,Ambiguous,VP,Y,3,,
159,6,Locative ,Inverse,VP,VP,Y,4,,
160,6,Locative ,Inverse,Ambiguous,NP,Y,5,,
161,7,Locative ,Regular,Ambiguous,VP,Y,1,,
162,7,Locative ,Regular,VP,VP,Y,2,,
163,7,Locative ,Regular,VP,VP,Y,3,,
164,7,Locative ,Regular,VP,VP,Y,4,,
165,7,Locative ,Regular,VP,VP,Y,5,,
166,7,Locative ,Inverse,VP,VP,Y,1,,
167,7,Locative ,Inverse,VP,VP,Y,2,,
168,7,Locative ,Inverse,VP,VP,Y,3,,
169,7,Locative ,Inverse,VP,VP,Y,4,,
170,7,Locative ,Inverse,VP,VP,Y,5,,
171,8,Locative ,Regular,VP,VP,Y,1,,
172,8,Locative ,Regular,VP,VP,Y,2,,
173,8,Locative ,Regular,VP,VP,Y,3,,
174,8,Locative ,Regular,Ambiguous,VP,Y,4,,
175,8,Locative ,Regular,Ambiguous,VP,Y,5,,
176,8,Locative ,Inverse,NP,NP,Y,1,,
177,8,Locative ,Inverse,Ambiguous,NP,Y,2,,
178,8,Locative ,Inverse,Ambiguous,NP,Y,3,,
179,8,Locative ,Inverse,Ambiguous,NP,Y,4,,
180,8,Locative ,Inverse,NP,NP,Y,5,,
181,9,Locative ,Regular,VP,VP,Y,1,,
182,9,Locative ,Regular,VP,VP,Y,2,,
183,9,Locative ,Regular,VP,VP,Y,3,,
184,9,Locative ,Regular,VP,VP,Y,4,,
185,9,Locative ,Regular,VP,VP,Y,5,,
186,9,Locative ,Inverse,VP,NO,N,1,,"188 - A subtle point: if the sentence were structured differently, e.g.,"
187,9,Locative ,Inverse,VP,VP,Y,2,,
188,9,Locative ,Inverse,VP,NO,N,3,,"""The customer served the barista in the red apron,"""
189,9,Locative ,Inverse,VP,VP,Y,4,,
190,9,Locative ,Inverse,Ambiguous,VP,Y,5,,"then ""in the red apron"" would describe which barista, acting as an adjective. But in your original sentence, it's definitely adverbial (place)."
191,10,Locative ,Regular,VP,VP,Y,1,,
192,10,Locative ,Regular,VP,VP,Y,2,,188 - If you rephrase it:
193,10,Locative ,Regular,VP,VP,Y,3,,
194,10,Locative ,Regular,Ambiguous,VP,Y,4,,"""In the cafe, the customer served the barista."""
195,10,Locative ,Regular,VP,VP,Y,5,,
196,10,Locative ,Inverse,Ambiguous,NP,Y,1,,"It’s clear that ""in the cafe"" is giving the location of the serving."
197,10,Locative ,Inverse,Ambiguous,NP,Y,2,,
198,10,Locative ,Inverse,NP,NP,Y,3,,"196 - ""principle of proximity"""
199,10,Locative ,Inverse,Ambiguous,NP,Y,4,,
200,10,Locative ,Inverse,Ambiguous,VP,Y,5,,
201,1,Descriptive,Regular,Ambiguous,NP,Y,1,,
202,1,Descriptive,Regular,Ambiguous,NP,Y,2,,
203,1,Descriptive,Regular,Ambiguous,NP,Y,3,,
204,1,Descriptive,Regular,NP,NP,Y,4,,
205,1,Descriptive,Regular,NP,NO,N,5,,
206,1,Descriptive,Inverse,Ambiguous,NP,Y,1,,
207,1,Descriptive,Inverse,Ambiguous,NP,Y,2,,
208,1,Descriptive,Inverse,Ambiguous,NP,Y,3,,
209,1,Descriptive,Inverse,Ambiguous,NP,Y,4,,
210,1,Descriptive,Inverse,Ambiguous,NP,Y,5,,
211,2,Descriptive,Regular,NP,NP,Y,1,,
212,2,Descriptive,Regular,Ambiguous,NP,Y,2,,
213,2,Descriptive,Regular,NP,NP,Y,3,,
214,2,Descriptive,Regular,NP,NP,Y,4,,
215,2,Descriptive,Regular,NP,NP,Y,5,,
216,2,Descriptive,Inverse,NP,NP,Y,1,,
217,2,Descriptive,Inverse,NP,NP,Y,2,,
218,2,Descriptive,Inverse,NP,NP,Y,3,,
219,2,Descriptive,Inverse,NP,NP,Y,4,,
220,2,Descriptive,Inverse,NP,NP,Y,5,,
221,3,Descriptive,Regular,NP,NP,Y,1,,
222,3,Descriptive,Regular,NP,NO,N,2,,
223,3,Descriptive,Regular,Ambiguous,NP,Y,3,,
224,3,Descriptive,Regular,NP,NP,Y,4,,
225,3,Descriptive,Regular,NP,NP,Y,5,,
226,3,Descriptive,Inverse,NP,NP,Y,1,,
227,3,Descriptive,Inverse,NP,NP,Y,2,,
228,3,Descriptive,Inverse,VP,VP,Y,3,,
229,3,Descriptive,Inverse,VP,NO,N,4,,
230,3,Descriptive,Inverse,VP,VP,Y,5,,
231,4,Descriptive,Regular,VP,NO,N,1,,
232,4,Descriptive,Regular,Ambiguous,NP,Y,2,,
233,4,Descriptive,Regular,VP,NO,N,3,,
234,4,Descriptive,Regular,NP,NO,N,4,,
235,4,Descriptive,Regular,NP,NP,Y,5,,
236,4,Descriptive,Inverse,Ambiguous,VP,Y,1,,
237,4,Descriptive,Inverse,NP,NP,Y,2,,
238,4,Descriptive,Inverse,NP,NP,Y,3,,
239,4,Descriptive,Inverse,VP,VP,Y,4,,
240,4,Descriptive,Inverse,NP,NP,Y,5,,
241,5,Descriptive,Regular,Ambiguous,NP,Y,1,,
242,5,Descriptive,Regular,NP,NP,Y,2,,
243,5,Descriptive,Regular,Ambiguous,NP,Y,3,,
244,5,Descriptive,Regular,Ambiguous,NP,Y,4,,
245,5,Descriptive,Regular,NP,NP,Y,5,,
246,5,Descriptive,Inverse,Ambiguous,NP,Y,1,,
247,5,Descriptive,Inverse,Ambiguous,VP,Y,2,,
248,5,Descriptive,Inverse,NP,NP,Y,3,,
249,5,Descriptive,Inverse,NP,NP,Y,4,,
250,5,Descriptive,Inverse,VP,VP,Y,5,,
251,6,Descriptive,Regular,NP,NP,Y,1,,
252,6,Descriptive,Regular,NP,NP,Y,2,,
253,6,Descriptive,Regular,NP,NP,Y,3,,
254,6,Descriptive,Regular,NP,NP,Y,4,,
255,6,Descriptive,Regular,Ambiguous,NP,Y,5,,
256,6,Descriptive,Inverse,NP,NO,N,1,,
257,6,Descriptive,Inverse,Ambiguous,NP,Y,2,,
258,6,Descriptive,Inverse,Ambiguous,NP,Y,3,,
259,6,Descriptive,Inverse,Ambiguous,NP,Y,4,,
260,6,Descriptive,Inverse,Ambiguous,NP,Y,5,,
261,7,Descriptive,Regular,Ambiguous,NP,Y,1,,
262,7,Descriptive,Regular,NP,NP,Y,2,,
263,7,Descriptive,Regular,Ambiguous,NP,Y,3,,
264,7,Descriptive,Regular,Ambiguous,NP,Y,4,,
265,7,Descriptive,Regular,Ambiguous,NP,Y,5,,
266,7,Descriptive,Inverse,Ambiguous,NP,Y,1,,
267,7,Descriptive,Inverse,Ambiguous,NP,Y,2,,
268,7,Descriptive,Inverse,Ambiguous,NP,Y,3,,
269,7,Descriptive,Inverse,Ambiguous,NP,Y,4,,
270,7,Descriptive,Inverse,Ambiguous,NP,Y,5,,
271,8,Descriptive,Regular,Ambiguous,VP,Y,1,,
272,8,Descriptive,Regular,Ambiguous,VP,Y,2,,
273,8,Descriptive,Regular,Ambiguous,NP,Y,3,,
274,8,Descriptive,Regular,Ambiguous,NP,Y,4,,
275,8,Descriptive,Regular,Ambiguous,NP,Y,5,,
276,8,Descriptive,Inverse,Ambiguous,VP,Y,1,,
277,8,Descriptive,Inverse,Ambiguous,VP,Y,2,,
278,8,Descriptive,Inverse,Ambiguous,VP,Y,3,,
279,8,Descriptive,Inverse,Ambiguous,VP,Y,4,,
280,8,Descriptive,Inverse,Ambiguous,VP,Y,5,,
281,9,Descriptive,Regular,Ambiguous,NP,Y,1,,
282,9,Descriptive,Regular,Ambiguous,NP,Y,2,,
283,9,Descriptive,Regular,Ambiguous,NP,Y,3,,
284,9,Descriptive,Regular,Ambiguous,NP,Y,4,,
285,9,Descriptive,Regular,Ambiguous,NP,Y,5,,
286,9,Descriptive,Inverse,Ambiguous,NP,Y,1,,
287,9,Descriptive,Inverse,Ambiguous,NP,Y,2,,
288,9,Descriptive,Inverse,Ambiguous,NP,Y,3,,
289,9,Descriptive,Inverse,Ambiguous,NP,Y,4,,
290,9,Descriptive,Inverse,Ambiguous,NP,Y,5,,
291,10,Descriptive,Regular,NP,NP,Y,1,,
292,10,Descriptive,Regular,NP,NO,N,2,,
293,10,Descriptive,Regular,NP,NO,N,3,,
294,10,Descriptive,Regular,NP,NO,N,4,,
295,10,Descriptive,Regular,NP,NP,Y,5,,
296,10,Descriptive,Inverse,Ambiguous,NP,Y,1,,
297,10,Descriptive,Inverse,Ambiguous,VP,Y,2,,
298,10,Descriptive,Inverse,NP,NP,Y,3,,
299,10,Descriptive,Inverse,Ambiguous,NP,Y,4,,
300,10,Descriptive,Inverse,Ambiguous,NP,Y,5,,
